Date,Year,Month,Day,Season,Season.Yr,Max.Temp,Min.Temp,Mean.Temp,Total.Precip,Station
1970-02-23,1970,2,23,Winter,1970,10,0,5,0,VANCOUVER INT'L A
1970-02-24,1970,2,24,Winter,1970,9.4,-1.7,3.9,0,VANCOUVER INT'L A
1970-02-25,1970,2,25,Winter,1970,11.1,-1.1,5,0,VANCOUVER INT'L A
1970-02-26,1970,2,26,Winter,1970,8.3,-1.1,3.6,0,VANCOUVER INT'L A
1970-02-27,1970,2,27,Winter,1970,12.2,-1.7,5.3,0,VANCOUVER INT'L A
1970-02-28,1970,2,28,Winter,1970,10.6,-0.6,5,0,VANCOUVER INT'L A
1970-03-01,1970,3,1,Spring,1970,7.8,-2.8,2.5,0,VANCOUVER INT'L A
1970-03-02,1970,3,2,Spring,1970,6.7,0,3.4,0,VANCOUVER INT'L A
1970-03-03,1970,3,3,Spring,1970,5.6,-3.9,0.9,0,VANCOUVER INT'L A
1970-03-04,1970,3,4,Spring,1970,7.2,-2.2,2.5,0,VANCOUVER INT'L A
1970-03-05,1970,3,5,Spring,1970,10,-1.7,4.2,0,VANCOUVER INT'L A
1970-03-06,1970,3,6,Spring,1970,10.6,6.1,8.4,19.8,VANCOUVER INT'L A
1970-03-07,1970,3,7,Spring,1970,11.7,3.9,7.8,0,VANCOUVER INT'L A
1970-03-08,1970,3,8,Spring,1970,9.4,-0.6,4.4,0,VANCOUVER INT'L A
1970-03-09,1970,3,9,Spring,1970,10,-2.2,3.9,0,VANCOUVER INT'L A
1970-03-10,1970,3,10,Spring,1970,12.2,-1.1,5.6,0,VANCOUVER INT'L A
1970-03-11,1970,3,11,Spring,1970,10,1.1,5.6,4.3,VANCOUVER INT'L A
1970-03-12,1970,3,12,Spring,1970,11.7,3.9,7.8,9.7,VANCOUVER INT'L A
1970-03-13,1970,3,13,Spring,1970,15,7.2,11.1,2,VANCOUVER INT'L A
1970-03-14,1970,3,14,Spring,1970,12.2,7.2,9.7,12.2,VANCOUVER INT'L A
1970-03-15,1970,3,15,Spring,1970,9.4,6.7,8.1,7.6,VANCOUVER INT'L A
1970-03-16,1970,3,16,Spring,1970,9.4,3.3,6.4,0.5,VANCOUVER INT'L A
1970-03-17,1970,3,17,Spring,1970,9.4,0.6,5,0,VANCOUVER INT'L A
1970-03-18,1970,3,18,Spring,1970,9.4,-1.1,4.2,0,VANCOUVER INT'L A
1970-03-19,1970,3,19,Spring,1970,12.2,0,6.1,0,VANCOUVER INT'L A
1970-03-20,1970,3,20,Spring,1970,11.7,5.6,8.7,0,VANCOUVER INT'L A
1970-03-21,1970,3,21,Spring,1970,10,3.9,7,0,VANCOUVER INT'L A
1970-03-22,1970,3,22,Spring,1970,10,1.1,5.6,0,VANCOUVER INT'L A
1970-03-23,1970,3,23,Spring,1970,12.8,7.2,10,2.8,VANCOUVER INT'L A
1970-03-24,1970,3,24,Spring,1970,10.6,2.8,6.7,0,VANCOUVER INT'L A
1970-03-25,1970,3,25,Spring,1970,10,1.1,5.6,0,VANCOUVER INT'L A
1970-03-26,1970,3,26,Spring,1970,12.2,0,6.1,0,VANCOUVER INT'L A
1970-03-27,1970,3,27,Spring,1970,8.9,1.1,5,0,VANCOUVER INT'L A
1970-03-28,1970,3,28,Spring,1970,11.1,3.9,7.5,0,VANCOUVER INT'L A
1970-03-29,1970,3,29,Spring,1970,11.7,1.1,6.4,0,VANCOUVER INT'L A
1970-03-30,1970,3,30,Spring,1970,13.3,1.7,7.5,0,VANCOUVER INT'L A
1970-03-31,1970,3,31,Spring,1970,13.3,0.6,7,0,VANCOUVER INT'L A
1970-04-01,1970,4,1,Spring,1970,12.2,6.7,9.5,0,VANCOUVER INT'L A
1970-04-02,1970,4,2,Spring,1970,11.1,1.7,6.4,0,VANCOUVER INT'L A
1970-04-03,1970,4,3,Spring,1970,10,1.7,5.9,0.5,VANCOUVER INT'L A
1970-04-04,1970,4,4,Spring,1970,8.3,5,6.7,16,VANCOUVER INT'L A
1970-04-05,1970,4,5,Spring,1970,11.7,7.8,9.8,13,VANCOUVER INT'L A
1970-04-06,1970,4,6,Spring,1970,9.4,5,7.2,5.8,VANCOUVER INT'L A
1970-04-07,1970,4,7,Spring,1970,8.3,1.1,4.7,0,VANCOUVER INT'L A
1970-04-08,1970,4,8,Spring,1970,10,3.3,6.7,12.2,VANCOUVER INT'L A
1970-04-09,1970,4,9,Spring,1970,15,7.8,11.4,17.5,VANCOUVER INT'L A
1970-04-10,1970,4,10,Spring,1970,11.7,5,8.4,0,VANCOUVER INT'L A
1970-04-11,1970,4,11,Spring,1970,10,5,7.5,0,VANCOUVER INT'L A
1970-04-12,1970,4,12,Spring,1970,9.4,0.6,5,0,VANCOUVER INT'L A
1970-04-13,1970,4,13,Spring,1970,14.4,0,7.2,0,VANCOUVER INT'L A
1970-04-14,1970,4,14,Spring,1970,14.4,2.2,8.3,0,VANCOUVER INT'L A
1970-04-15,1970,4,15,Spring,1970,14.4,2.2,8.3,0,VANCOUVER INT'L A
1970-04-16,1970,4,16,Spring,1970,15.6,2.8,9.2,0,VANCOUVER INT'L A
1970-04-17,1970,4,17,Spring,1970,15,2.8,8.9,0,VANCOUVER INT'L A
1970-04-18,1970,4,18,Spring,1970,10,6.1,8.1,6.9,VANCOUVER INT'L A
1970-04-19,1970,4,19,Spring,1970,10.6,6.1,8.4,8.1,VANCOUVER INT'L A
1970-04-20,1970,4,20,Spring,1970,10.6,5.6,8.1,11.4,VANCOUVER INT'L A
1970-04-21,1970,4,21,Spring,1970,12.8,4.4,8.6,0,VANCOUVER INT'L A
1970-04-22,1970,4,22,Spring,1970,12.8,7.2,10,2.3,VANCOUVER INT'L A
1970-04-23,1970,4,23,Spring,1970,11.7,6.7,9.2,4.8,VANCOUVER INT'L A
1970-04-24,1970,4,24,Spring,1970,10,5.6,7.8,4.8,VANCOUVER INT'L A
1970-04-25,1970,4,25,Spring,1970,10,3.3,6.7,1.8,VANCOUVER INT'L A
1970-04-26,1970,4,26,Spring,1970,10.6,1.7,6.2,0,VANCOUVER INT'L A
1970-04-27,1970,4,27,Spring,1970,13.3,1.7,7.5,0,VANCOUVER INT'L A
1970-04-28,1970,4,28,Spring,1970,15,2.2,8.6,0,VANCOUVER INT'L A
1970-04-29,1970,4,29,Spring,1970,10.6,6.1,8.4,7.1,VANCOUVER INT'L A
1970-04-30,1970,4,30,Spring,1970,13.3,6.7,10,0,VANCOUVER INT'L A
1970-05-01,1970,5,1,Spring,1970,15.6,6.7,11.2,0,VANCOUVER INT'L A
1970-05-02,1970,5,2,Spring,1970,14.4,5.6,10,0,VANCOUVER INT'L A
1970-05-03,1970,5,3,Spring,1970,17.2,7.2,12.2,0,VANCOUVER INT'L A
1970-05-04,1970,5,4,Spring,1970,16.1,7.2,11.7,0,VANCOUVER INT'L A
1970-05-05,1970,5,5,Spring,1970,13.9,6.7,10.3,0,VANCOUVER INT'L A
1970-05-06,1970,5,6,Spring,1970,15,3.3,9.2,0,VANCOUVER INT'L A
1970-05-07,1970,5,7,Spring,1970,13.9,4.4,9.2,0,VANCOUVER INT'L A
1970-05-08,1970,5,8,Spring,1970,12.8,8.3,10.6,7.4,VANCOUVER INT'L A
1970-05-09,1970,5,9,Spring,1970,12.2,3.3,7.8,0,VANCOUVER INT'L A
1970-05-10,1970,5,10,Spring,1970,11.1,3.9,7.5,0.5,VANCOUVER INT'L A
1970-05-11,1970,5,11,Spring,1970,12.2,3.3,7.8,0,VANCOUVER INT'L A
1970-05-12,1970,5,12,Spring,1970,13.9,3.9,8.9,0,VANCOUVER INT'L A
1970-05-13,1970,5,13,Spring,1970,15,7.2,11.1,0,VANCOUVER INT'L A
1970-05-14,1970,5,14,Spring,1970,15.6,8.3,12,0,VANCOUVER INT'L A
1970-05-15,1970,5,15,Spring,1970,22.8,10,16.4,0,VANCOUVER INT'L A
1970-05-16,1970,5,16,Spring,1970,18.9,8.3,13.6,2.8,VANCOUVER INT'L A
1970-05-17,1970,5,17,Spring,1970,15,6.1,10.6,0,VANCOUVER INT'L A
1970-05-18,1970,5,18,Spring,1970,15.6,4.4,10,0,VANCOUVER INT'L A
1970-05-19,1970,5,19,Spring,1970,15.6,6.1,10.9,0,VANCOUVER INT'L A
1970-05-20,1970,5,20,Spring,1970,17.8,6.7,12.3,0,VANCOUVER INT'L A
1970-05-21,1970,5,21,Spring,1970,15,8.9,12,5.3,VANCOUVER INT'L A
1970-05-22,1970,5,22,Spring,1970,15.6,10.6,13.1,3.3,VANCOUVER INT'L A
1970-05-23,1970,5,23,Spring,1970,16.7,9.4,13.1,0,VANCOUVER INT'L A
1970-05-24,1970,5,24,Spring,1970,18.9,7.8,13.4,0,VANCOUVER INT'L A
1970-05-25,1970,5,25,Spring,1970,22.2,10.6,16.4,0,VANCOUVER INT'L A
1970-05-26,1970,5,26,Spring,1970,15.6,9.4,12.5,0,VANCOUVER INT'L A
1970-05-27,1970,5,27,Spring,1970,15,8.3,11.7,1.8,VANCOUVER INT'L A
1970-05-28,1970,5,28,Spring,1970,14.4,8.9,11.7,3.8,VANCOUVER INT'L A
1970-05-29,1970,5,29,Spring,1970,15,8.9,12,1,VANCOUVER INT'L A
1970-05-30,1970,5,30,Spring,1970,17.8,6.7,12.3,0,VANCOUVER INT'L A
1970-05-31,1970,5,31,Spring,1970,19.4,8.9,14.2,0,VANCOUVER INT'L A
1970-06-01,1970,6,1,Summer,1970,28.3,10.6,19.5,0,VANCOUVER INT'L A
1970-06-02,1970,6,2,Summer,1970,30.6,14.4,22.5,0,VANCOUVER INT'L A
1970-06-03,1970,6,3,Summer,1970,26.7,12.8,19.8,0,VANCOUVER INT'L A
1970-06-04,1970,6,4,Summer,1970,19.4,10.6,15,0,VANCOUVER INT'L A
1970-06-05,1970,6,5,Summer,1970,20.6,10,15.3,0,VANCOUVER INT'L A
1970-06-06,1970,6,6,Summer,1970,25,11.1,18.1,0,VANCOUVER INT'L A
1970-06-07,1970,6,7,Summer,1970,19.4,10,14.7,0,VANCOUVER INT'L A
1970-06-08,1970,6,8,Summer,1970,18.9,8.9,13.9,0,VANCOUVER INT'L A
1970-06-09,1970,6,9,Summer,1970,15.6,10,12.8,6.1,VANCOUVER INT'L A
1970-06-10,1970,6,10,Summer,1970,17.8,6.7,12.3,0,VANCOUVER INT'L A
1970-06-11,1970,6,11,Summer,1970,16.7,9.4,13.1,20.8,VANCOUVER INT'L A
1970-06-12,1970,6,12,Summer,1970,20,8.9,14.5,0,VANCOUVER INT'L A
1970-06-13,1970,6,13,Summer,1970,19.4,13.9,16.7,0,VANCOUVER INT'L A
1970-06-14,1970,6,14,Summer,1970,18.3,15,16.7,0.5,VANCOUVER INT'L A
1970-06-15,1970,6,15,Summer,1970,16.1,11.7,13.9,1,VANCOUVER INT'L A
1970-06-16,1970,6,16,Summer,1970,16.7,11.1,13.9,0,VANCOUVER INT'L A
1970-06-17,1970,6,17,Summer,1970,19.4,10,14.7,0,VANCOUVER INT'L A
1970-06-18,1970,6,18,Summer,1970,22.8,10,16.4,0,VANCOUVER INT'L A
1970-06-19,1970,6,19,Summer,1970,23.9,12.2,18.1,0,VANCOUVER INT'L A
1970-06-20,1970,6,20,Summer,1970,25,13.3,19.2,0,VANCOUVER INT'L A
1970-06-21,1970,6,21,Summer,1970,23.9,15,19.5,0,VANCOUVER INT'L A
1970-06-22,1970,6,22,Summer,1970,22.8,14.4,18.6,0,VANCOUVER INT'L A
1970-06-23,1970,6,23,Summer,1970,21.1,11.1,16.1,0,VANCOUVER INT'L A
1970-06-24,1970,6,24,Summer,1970,20,10.6,15.3,0,VANCOUVER INT'L A
1970-06-25,1970,6,25,Summer,1970,22.2,11.7,17,0,VANCOUVER INT'L A
1970-06-26,1970,6,26,Summer,1970,20.6,14.4,17.5,0,VANCOUVER INT'L A
1970-06-27,1970,6,27,Summer,1970,16.7,12.2,14.5,8.9,VANCOUVER INT'L A
1970-06-28,1970,6,28,Summer,1970,16.7,10.6,13.7,0.3,VANCOUVER INT'L A
1970-06-29,1970,6,29,Summer,1970,16.7,9.4,13.1,0.8,VANCOUVER INT'L A
1970-06-30,1970,6,30,Summer,1970,16.7,10,13.4,0,VANCOUVER INT'L A
1970-07-01,1970,7,1,Summer,1970,19.4,12.8,16.1,0,VANCOUVER INT'L A
1970-07-02,1970,7,2,Summer,1970,23.9,13.9,18.9,0,VANCOUVER INT'L A
1970-07-03,1970,7,3,Summer,1970,25,15,20,0,VANCOUVER INT'L A
1970-07-04,1970,7,4,Summer,1970,23.9,13.9,18.9,0,VANCOUVER INT'L A
1970-07-05,1970,7,5,Summer,1970,23.3,11.1,17.2,0,VANCOUVER INT'L A
1970-07-06,1970,7,6,Summer,1970,22.2,10,16.1,0,VANCOUVER INT'L A
1970-07-07,1970,7,7,Summer,1970,25,12.2,18.6,0,VANCOUVER INT'L A
1970-07-08,1970,7,8,Summer,1970,22.2,15.6,18.9,0,VANCOUVER INT'L A
1970-07-09,1970,7,9,Summer,1970,20,14.4,17.2,0,VANCOUVER INT'L A
1970-07-10,1970,7,10,Summer,1970,21.1,11.7,16.4,0,VANCOUVER INT'L A
1970-07-11,1970,7,11,Summer,1970,20.6,12.8,16.7,0,VANCOUVER INT'L A
1970-07-12,1970,7,12,Summer,1970,21.1,12.8,17,0,VANCOUVER INT'L A
1970-07-13,1970,7,13,Summer,1970,22.8,11.1,17,0,VANCOUVER INT'L A
1970-07-14,1970,7,14,Summer,1970,23.3,11.7,17.5,0,VANCOUVER INT'L A
1970-07-15,1970,7,15,Summer,1970,26.7,13.9,20.3,0,VANCOUVER INT'L A
1970-07-16,1970,7,16,Summer,1970,21.1,14.4,17.8,0,VANCOUVER INT'L A
1970-07-17,1970,7,17,Summer,1970,21.7,12.8,17.3,0,VANCOUVER INT'L A
1970-07-18,1970,7,18,Summer,1970,27.8,12.8,20.3,0,VANCOUVER INT'L A
1970-07-19,1970,7,19,Summer,1970,26.1,13.9,20,0,VANCOUVER INT'L A
1970-07-20,1970,7,20,Summer,1970,23.3,14.4,18.9,0,VANCOUVER INT'L A
1970-07-21,1970,7,21,Summer,1970,17.8,12.2,15,0,VANCOUVER INT'L A
1970-07-22,1970,7,22,Summer,1970,20.6,11.1,15.9,0,VANCOUVER INT'L A
1970-07-23,1970,7,23,Summer,1970,21.1,11.1,16.1,0,VANCOUVER INT'L A
1970-07-24,1970,7,24,Summer,1970,20,12.8,16.4,1,VANCOUVER INT'L A
1970-07-25,1970,7,25,Summer,1970,14.4,11.7,13.1,15,VANCOUVER INT'L A
1970-07-26,1970,7,26,Summer,1970,18.3,13.9,16.1,4.3,VANCOUVER INT'L A
1970-07-27,1970,7,27,Summer,1970,18.3,12.2,15.3,1.5,VANCOUVER INT'L A
1970-07-28,1970,7,28,Summer,1970,20.6,10.6,15.6,0,VANCOUVER INT'L A
1970-07-29,1970,7,29,Summer,1970,16.7,11.7,14.2,11.9,VANCOUVER INT'L A
1970-07-30,1970,7,30,Summer,1970,19.4,12.8,16.1,0,VANCOUVER INT'L A
1970-07-31,1970,7,31,Summer,1970,21.1,10,15.6,0,VANCOUVER INT'L A
1970-08-01,1970,8,1,Summer,1970,22.8,12.2,17.5,0,VANCOUVER INT'L A
1970-08-02,1970,8,2,Summer,1970,18.9,13.3,16.1,0,VANCOUVER INT'L A
1970-08-03,1970,8,3,Summer,1970,21.1,12.8,17,0,VANCOUVER INT'L A
1970-08-04,1970,8,4,Summer,1970,21.1,12.2,16.7,0,VANCOUVER INT'L A
1970-08-05,1970,8,5,Summer,1970,22.8,13.9,18.4,0,VANCOUVER INT'L A
1970-08-06,1970,8,6,Summer,1970,22.2,13.3,17.8,0,VANCOUVER INT'L A
1970-08-07,1970,8,7,Summer,1970,21.1,13.9,17.5,1,VANCOUVER INT'L A
1970-08-08,1970,8,8,Summer,1970,20.6,13.3,17,0,VANCOUVER INT'L A
1970-08-09,1970,8,9,Summer,1970,21.1,10,15.6,0,VANCOUVER INT'L A
1970-08-10,1970,8,10,Summer,1970,22.2,12.2,17.2,0,VANCOUVER INT'L A
1970-08-11,1970,8,11,Summer,1970,26.7,13.3,20,0,VANCOUVER INT'L A
1970-08-12,1970,8,12,Summer,1970,20,12.8,16.4,3.3,VANCOUVER INT'L A
1970-08-13,1970,8,13,Summer,1970,20,13.9,17,0,VANCOUVER INT'L A
1970-08-14,1970,8,14,Summer,1970,21.7,11.1,16.4,0,VANCOUVER INT'L A
1970-08-15,1970,8,15,Summer,1970,25.6,12.2,18.9,0,VANCOUVER INT'L A
1970-08-16,1970,8,16,Summer,1970,18.9,12.2,15.6,0,VANCOUVER INT'L A
1970-08-17,1970,8,17,Summer,1970,20,8.9,14.5,0,VANCOUVER INT'L A
1970-08-18,1970,8,18,Summer,1970,21.1,8.9,15,0,VANCOUVER INT'L A
1970-08-19,1970,8,19,Summer,1970,21.7,9.4,15.6,0,VANCOUVER INT'L A
1970-08-20,1970,8,20,Summer,1970,21.1,11.1,16.1,0,VANCOUVER INT'L A
1970-08-21,1970,8,21,Summer,1970,21.7,10,15.9,0,VANCOUVER INT'L A
1970-08-22,1970,8,22,Summer,1970,22.2,11.7,17,0,VANCOUVER INT'L A
1970-08-23,1970,8,23,Summer,1970,22.8,12.2,17.5,0,VANCOUVER INT'L A
1970-08-24,1970,8,24,Summer,1970,19.4,13.9,16.7,0,VANCOUVER INT'L A
1970-08-25,1970,8,25,Summer,1970,17.2,14.4,15.8,0,VANCOUVER INT'L A
1970-08-26,1970,8,26,Summer,1970,20,13.9,17,0,VANCOUVER INT'L A
1970-08-27,1970,8,27,Summer,1970,18.9,11.1,15,1.5,VANCOUVER INT'L A
1970-08-28,1970,8,28,Summer,1970,17.8,12.8,15.3,0,VANCOUVER INT'L A
1970-08-29,1970,8,29,Summer,1970,21.1,7.8,14.5,0,VANCOUVER INT'L A
1970-08-30,1970,8,30,Summer,1970,21.7,9.4,15.6,0,VANCOUVER INT'L A
1970-08-31,1970,8,31,Summer,1970,21.7,11.1,16.4,0,VANCOUVER INT'L A
1970-09-01,1970,9,1,Fall,1970,17.8,13.3,15.6,0,VANCOUVER INT'L A
1970-09-02,1970,9,2,Fall,1970,18.3,10,14.2,3,VANCOUVER INT'L A
1970-09-03,1970,9,3,Fall,1970,20,11.7,15.9,17,VANCOUVER INT'L A
1970-09-04,1970,9,4,Fall,1970,17.8,8.3,13.1,0,VANCOUVER INT'L A
1970-09-05,1970,9,5,Fall,1970,16.1,11.7,13.9,9.4,VANCOUVER INT'L A
1970-09-06,1970,9,6,Fall,1970,15,10.6,12.8,5.6,VANCOUVER INT'L A
1970-09-07,1970,9,7,Fall,1970,15.6,6.1,10.9,0,VANCOUVER INT'L A
1970-09-08,1970,9,8,Fall,1970,16.7,9.4,13.1,3.6,VANCOUVER INT'L A
1970-09-09,1970,9,9,Fall,1970,16.7,6.7,11.7,0,VANCOUVER INT'L A
1970-09-10,1970,9,10,Fall,1970,17.2,7.8,12.5,0,VANCOUVER INT'L A
1970-09-11,1970,9,11,Fall,1970,17.8,6.1,12,0,VANCOUVER INT'L A
1970-09-12,1970,9,12,Fall,1970,16.1,5,10.6,0,VANCOUVER INT'L A
1970-09-13,1970,9,13,Fall,1970,17.2,3.3,10.3,0,VANCOUVER INT'L A
1970-09-14,1970,9,14,Fall,1970,17.8,9.4,13.6,0,VANCOUVER INT'L A
1970-09-15,1970,9,15,Fall,1970,17.2,5.6,11.4,0,VANCOUVER INT'L A
1970-09-16,1970,9,16,Fall,1970,18.9,9.4,14.2,3.6,VANCOUVER INT'L A
1970-09-17,1970,9,17,Fall,1970,15.6,12.8,14.2,19.1,VANCOUVER INT'L A
1970-09-18,1970,9,18,Fall,1970,17.8,12.2,15,1,VANCOUVER INT'L A
1970-09-19,1970,9,19,Fall,1970,16.1,10,13.1,3.3,VANCOUVER INT'L A
1970-09-20,1970,9,20,Fall,1970,15.6,7.8,11.7,0,VANCOUVER INT'L A
1970-09-21,1970,9,21,Fall,1970,13.9,7.2,10.6,0.3,VANCOUVER INT'L A
1970-09-22,1970,9,22,Fall,1970,17.2,10.6,13.9,9.9,VANCOUVER INT'L A
1970-09-23,1970,9,23,Fall,1970,13.9,5.6,9.8,0,VANCOUVER INT'L A
1970-09-24,1970,9,24,Fall,1970,13.9,3.9,8.9,0,VANCOUVER INT'L A
1970-09-25,1970,9,25,Fall,1970,15,7.8,11.4,0,VANCOUVER INT'L A
1970-09-26,1970,9,26,Fall,1970,17.2,5,11.1,0,VANCOUVER INT'L A
1970-09-27,1970,9,27,Fall,1970,18.9,6.1,12.5,0,VANCOUVER INT'L A
1970-09-28,1970,9,28,Fall,1970,18.9,7.2,13.1,0,VANCOUVER INT'L A
1970-09-29,1970,9,29,Fall,1970,21.1,7.8,14.5,0,VANCOUVER INT'L A
1970-09-30,1970,9,30,Fall,1970,17.2,10,13.6,0,VANCOUVER INT'L A
1970-10-01,1970,10,1,Fall,1970,15.6,5.6,10.6,0,VANCOUVER INT'L A
1970-10-02,1970,10,2,Fall,1970,17.2,7.2,12.2,0,VANCOUVER INT'L A
1970-10-03,1970,10,3,Fall,1970,21.1,7.8,14.5,0,VANCOUVER INT'L A
1970-10-04,1970,10,4,Fall,1970,15.6,11.1,13.4,2,VANCOUVER INT'L A
1970-10-05,1970,10,5,Fall,1970,13.3,8.3,10.8,0,VANCOUVER INT'L A
1970-10-06,1970,10,6,Fall,1970,13.9,3.3,8.6,0,VANCOUVER INT'L A
1970-10-07,1970,10,7,Fall,1970,12.2,4.4,8.3,0,VANCOUVER INT'L A
1970-10-08,1970,10,8,Fall,1970,10.6,8.3,9.5,5.3,VANCOUVER INT'L A
1970-10-09,1970,10,9,Fall,1970,13.3,8.9,11.1,7.9,VANCOUVER INT'L A
1970-10-10,1970,10,10,Fall,1970,12.8,9.4,11.1,0,VANCOUVER INT'L A
1970-10-11,1970,10,11,Fall,1970,13.3,9.4,11.4,1.8,VANCOUVER INT'L A
1970-10-12,1970,10,12,Fall,1970,12.2,5.6,8.9,0,VANCOUVER INT'L A
1970-10-13,1970,10,13,Fall,1970,12.2,2.8,7.5,0,VANCOUVER INT'L A
1970-10-14,1970,10,14,Fall,1970,12.2,2.2,7.2,0,VANCOUVER INT'L A
1970-10-15,1970,10,15,Fall,1970,11.7,0,5.9,0,VANCOUVER INT'L A
1970-10-16,1970,10,16,Fall,1970,12.8,0.6,6.7,0,VANCOUVER INT'L A
1970-10-17,1970,10,17,Fall,1970,11.7,2.8,7.3,0.5,VANCOUVER INT'L A
